Facility ID,Facility Name,City/Town,County/Parish,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating
390001,GEISINGER-COMMUNITY MEDICAL CENTER,SCRANTON,LACKAWANNA,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390002,UPMC MCKEESPORT HOSPITAL,MC KEESPORT,ALLEGHENY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390003,GEISINGER-BLOOMSBURG HOSPITAL,BLOOMSBURG,COLUMBIA,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390004,PENN STATE HEALTH HOLY SPIRIT MEDICAL CENTER,CAMP HILL,CUMBERLAND,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
390006,GEISINGER MEDICAL CENTER,DANVILLE,MONTOUR,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390009,SAINT VINCENT HOSPITAL,ERIE,ERIE,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390012,JEFFERSON LANSDALE HOSPITAL,LANSDALE,MONTGOMERY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
390013,WELLSPAN EVANGELICAL COMMUNITY HOSPITAL,LEWISBURG,UNION,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0
390016,UPMC JAMESON,NEW CASTLE,LAWRENCE,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0
39001F,JAMES E. VAN ZANDT VA MEDICAL CENTER (ALTOONA),ALTOONA,BLAIR,PA,Acute Care - Veterans Administration,Veterans Health Administration,No,4.0
390026,TEMPLE HEALTH - CHESTNUT HILL HOSPITAL,PHILADELPHIA,PHILADELPHIA,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
390027,TEMPLE UNIVERSITY HOSPITAL,PHILADELPHIA,PHILADELPHIA,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390028,UPMC MERCY,PITTSBURGH,ALLEGHENY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390030,SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET,POTTSVILLE,SCHUYLKILL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390032,ALLEGHENY VALLEY HOSPITAL,NATRONA,ALLEGHENY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390035,ST LUKE'S HOSPITAL - UPPER BUCKS CAMPUS,QUAKERTOWN,BUCKS,PA,Acute Care Hospitals,Proprietary,Yes,4.0
390036,HERITAGE VALLEY BEAVER,BEAVER,BEAVER,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390037,HERITAGE VALLEY SEWICKLEY,SEWICKLEY,ALLEGHENY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390039,UPMC SOMERSET,SOMERSET,SOMERSET,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390041,UNIONTOWN HOSPITAL,UNIONTOWN,FAYETTE,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
390042,"WASHINGTON HOSPITAL, THE",WASHINGTON,WASHINGTON,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390044,READING HOSPITAL,WEST READING,BERKS,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
